ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography,share
0,"Owner Occupied",2015,"2015",56967,739,"Genesee (West) & Shiawassee Counties PUMA, MI","79500US2601704","genesee-west-shiawassee-counties-puma-mi",0.7904837232536841
0,"Owner Occupied",2014,"2014",74787460,343068,"United States","01000US","united-states",0.6435483800462007
0,"Owner Occupied",2014,"2014",2738012,12390,"Michigan","04000US26","michigan",0.7152815657753117
0,"Owner Occupied",2014,"2014",115167,1290,"Genesee County, MI","05000US26049","genesee-county-mi",0.6939359612441403
0,"Owner Occupied",2014,"2014",2227,196,"Beecher, MI","16000US2606820","beecher-mi",0.6138368246968027
0,"Owner Occupied",2014,"2014",8527,335,"Burton, MI","16000US2612060","burton-mi",0.7323713819462337
0,"Owner Occupied",2014,"2014",115167,1290,"Flint, MI","31000US22420","flint-mi-31000US22420",0.6939359612441403
0,"Owner Occupied",2014,"2014",29441,639,"Genesee County (Central, Outside Flint City) PUMA, MI","79500US2601702","genesee-county-central-outside-flint-city-puma-mi",0.698614209102558
0,"Owner Occupied",2014,"2014",22479,692,"Flint City Area PUMA, MI","79500US2601703","flint-city-area-puma-mi",0.55480415628008
0,"Owner Occupied",2014,"2014",56721,747,"Genesee (West) & Shiawassee Counties PUMA, MI","79500US2601704","genesee-west-shiawassee-counties-puma-mi",0.787594767974673
0,"Owner Occupied",2013,"2013",75075700,345645,"United States","01000US","united-states",0.649386382947334
0,"Owner Occupied",2013,"2013",2757062,11552,"Michigan","04000US26","michigan",0.7211247933711368
0,"Owner Occupied",2013,"2013",116462,1247,"Genesee County, MI","05000US26049","genesee-county-mi",0.702980038510524
0,"Owner Occupied",2013,"2013",2166,170,"Beecher, MI","16000US2606820","beecher-mi",0.601165695253955
0,"Owner Occupied",2013,"2013",8558,347,"Burton, MI","16000US2612060","burton-mi",0.7437212131745894
0,"Owner Occupied",2013,"2013",116462,1247,"Flint, MI","31000US22420","flint-mi-31000US22420",0.702980038510524
0,"Owner Occupied",2013,"2013",29708,645,"Genesee County (Central, Outside Flint City) PUMA, MI","79500US2601702","genesee-county-central-outside-flint-city-puma-mi",0.7068620919387075
0,"Owner Occupied",2013,"2013",23182,818,"Flint City Area PUMA, MI","79500US2601703","flint-city-area-puma-mi",0.5650976281598128
0,"Owner Occupied",2013,"2013",56886,798,"Genesee (West) & Shiawassee Counties PUMA, MI","79500US2601704","genesee-west-shiawassee-counties-puma-mi",0.793234235992972
